match,bet_on,odds,our_prob,true_prob,edge,bet_amount,result,p&l,capital_after
Liverpool vs AFC Bournemouth,away_win,11.794058582443364,0.18550000000000003,0.08987576181603135,0.09562423818396867,275.1045535770967,LOSS,-275.1045535770967,9724.895446422903
Liverpool vs AFC Bournemouth,away_win,11.794058582443364,0.18550000000000003,0.08987576181603135,0.09562423818396867,267.53630203721127,LOSS,-267.53630203721127,9457.359144385691
Aston Villa vs Newcastle United,draw,5.300000000000001,0.37399999999999994,0.19999999999999998,0.17399999999999996,540.0591948613735,LOSS,-540.0591948613735,8917.299949524318
Aston Villa vs Newcastle United,draw,5.300000000000001,0.37399999999999994,0.19999999999999998,0.17399999999999996,509.2193029315572,LOSS,-509.2193029315572,8408.080646592762
Brighton & Hove Albion vs Fulham,away_win,9.91349699824923,0.24099999999999996,0.10692493276461383,0.13407506723538615,327.59613253363983,LOSS,-327.59613253363983,8080.4845140591215
Tottenham Hotspur vs Burnley,away_win,-92.28948056859915,0.10559662090813093,-0.011485599371340026,0.11708222027947096,232.68567025635997,LOSS,-232.68567025635997,7847.798843802761
Sunderland vs West Ham United,home_win,3.028571428571429,0.5645,0.35,0.21450000000000002,686.3231686039761,WIN,1392.2555705966374,9240.0544143994
Brighton & Hove Albion vs Fulham,away_win,9.91349699824923,0.24099999999999996,0.10692493276461383,0.13407506723538615,360.0115433935894,LOSS,-360.0115433935894,8880.04287100581
Sunderland vs West Ham United,home_win,3.028571428571429,0.5645,0.35,0.21450000000000002,776.5972703773639,WIN,1575.3830341940813,10455.42590519989
Tottenham Hotspur vs Burnley,away_win,-92.28948056859915,0.10559662090813093,-0.011485599371340026,0.11708222027947096,301.07449377995874,LOSS,-301.07449377995874,10154.351411419932
Wolverhampton Wanderers vs Manchester City,away_win,5.9428925841395435,0.5006273525721455,0.17836432090812807,0.3222630316640175,1014.4169862663814,LOSS,-1014.4169862663814,9139.93442515355
Wolverhampton Wanderers vs Manchester City,away_win,5.9428925841395435,0.5006273525721455,0.17836432090812807,0.3222630316640175,913.0770010391149,LOSS,-913.0770010391149,8226.857424114434
Chelsea vs Crystal Palace,away_win,16.522039869559865,0.2189999999999999,0.06415672691559954,0.15484327308440035,346.9357263972589,LOSS,-346.9357263972589,7879.921697717175
Chelsea vs Crystal Palace,away_win,16.522039869559865,0.2189999999999999,0.06415672691559954,0.15484327308440035,332.30506099907376,LOSS,-332.30506099907376,7547.616636718101
